novel_id,title,title_eng,synopsis,type,n_chapters,authors,genres,n_volumes,status,score,scored_by,popularty,favorites,year_start,year_finnish,image
70399,Seishun Buta Yarou Series,Rascal Does Not Dream,"One day, in the library where Sakuta Azusagawa studies, he runs into an unexpected sight: a beautiful high school girl in a bunny outfit. She turns out to be Mai Sakurajima, a famous former actress and fellow student at Minegahara High. His surprise at seeing Mai wear such risqué attire in the library, however, is nothing compared to the shocking realization that he is the only one who can see her! Reminded of an event from his past, Sakuta offers to help Mai discover the reason behind her invisibility. Despite their initially contentious relationship, the two quickly become close: Mai and Sakuta learn to appreciate each other, and their friendship turns into a budding romance. This further fuels their determination to solve Mai's dilemma. While the investigation progresses, Sakuta attributes Mai's situation to an urban legend known as Adolescence Syndrome: strange phenomena occurring in youth, unexplained by science and often dismissed as delusion. With few promising results, Mai's predicament worsens to the point where being unseen is the least of her worries. Can Sakuta and Mai solve the mystery of her Adolescence Syndrome before she disappears completely? [Written by MAL Rewrite]",Light Novel,,"Kamoshida Hajime,Mizoguchi Keiji","Drama,Romance,Supernatural,School",,Publishing,8.59,5930.0,677,1005,2014.0,,https://cdn.myanimelist.net/images/manga/2/177502.jpg
399,Kino no Tabi: The Beautiful World,Kino no Tabi: The Beautiful World,"Destination is a state of mind. A tale of one girl and her bike and the road ahead. Kino wanders around the world on the back of Hermes, her unusual, anthropomorphic motorcycle, only staying in each country for three days. During their adventures, they find happiness, sadness, pain, decadence, violence, beauty, and wisdom. But through it all, they never lose their sense of freedom. They discover that because of the world's imperfections, it is actually a thing of beauty. ""The world is not beautiful, therefore it is."" (Source: Tokyopop)",Light Novel,,"Sigsawa Keiichi,Kuroboshi Kouhaku","Adventure,Drama,Fantasy,Mystery,Sci-Fi,Psychological",,Publishing,8.58,3193.0,951,493,2000.0,,https://cdn.myanimelist.net/images/manga/4/1146.jpg
108177,Monogatari Series: Monster Season,,"""It's chic to go saving a girl who has nothing to do with you every once in a while."" Female students from Naoetsu High School have gone missing one after the other. When the mummified bodies of the girls are discovered, there's a very distinctive marking left on the napes of their necks...? Koyomi Araragi, now a first year university student, goes on the move to track down the culprit! (Source: Kodansha, Bakemonogatari Wikia)",Light Novel,,"NISIO ISIN,VOFAN","Comedy,Mystery,Supernatural,Vampire",6.0,Finished,8.57,1589.0,2702,100,2017.0,2021.0,https://cdn.myanimelist.net/images/manga/1/198051.jpg
3083,Suzumiya Haruhi Series,,"As the students of Class 1-5 introduce themselves at the beginning of their high school careers, the cynical but otherwise fairly ordinary boy known as Kyon sits down, having just finished his piece. However, when the girl sitting behind him stands up to give her speech, the words she utters dumbfound the entire class. Proclaiming that she has no interest in ordinary humans and is in search of the supernatural, Haruhi Suzumiya makes her unforgettable debut. Doubting Haruhi's sincerity, Kyon lets his curiosity get the better of him and attempts to befriend her in spite of his classmates' warnings. Unfortunately, as the eccentric girl slowly opens up to him, Kyon realizes she is dead serious. Moreover, a conversation between the two sparks a dangerous idea in Haruhi's mind: since she is bored with the mundanity of the school's clubs, she should just create her own. With this, the SOS Brigade is born, and Kyon is quickly dragged into a life of absurdity. Taking over the Literary Club's room, Haruhi soon enlists three new members into her organization: the stoic Yuki Nagato, the timid Mikuru Asahina, and the supposedly mysterious transfer student Itsuki Koizumi. Having thrown together this group of students, Haruhi drags the squad around on adventures in search of the exciting and supernatural, much to Kyon's chagrin. However, he soon discovers that there is more to the new recruits than meets the eye, and that which Haruhi wishes for may be much closer than she realizes... [Written by MAL Rewrite]",Light Novel,,"Tanigawa Nagaru,Itou Noizi","Comedy,Drama,Sci-Fi,Supernatural,School",,Publishing,8.54,12079.0,456,1776,2003.0,,https://cdn.myanimelist.net/images/manga/1/186142.jpg
2062,Kara no Kyoukai: The Garden of Sinners,,"A teenage girl, who possesses the ""Mystic Eyes of Death Perception,"" a supernatural ability that allows the user to see the ""death"" of everything in existence and kill the object by destroying its ""origin."" She recently recovered from a two-year coma caused by a traffic accident. Prior to the traffic accident, she originally had two personalities, a male personality named Shiki (織), and the original female personality Shiki (式). Children born into the Ryougi family are generally male and are raised with two personalities, so the male personality is customarily called the ""yang"" personality, while the female is called the ""yin"" personality. It is easy to tell which Shiki is speaking at a given time because they both have a distinct style of speaking, most notably that the female Shiki refers to herself with the pronoun watashi (私), while male Shiki refers to himself as ore (俺). After waking from her coma, Shiki discovers that she can no longer feel the male Shiki's presence and assumes that he died because of the accident. She also feels a detachment from her memories before the accident, and while she knows she is Shiki, she does not feel that she is. In the hopes of regaining herself and the ""dead"" Shiki, she puts on a cold facade that somewhat resembles the male Shiki's and tries to act as the female Shiki did. Touko understands the sense of detachment Shiki feels, but considers the current Shiki a third, new personality. The series is regarded as being set in the same world as another TYPE-MOON series, Tsukihime, with Aoko Aozaki's sister Touko Aozaki being featured in this series and the protagonist of the series, Shiki Ryougi, possessing the same abilities as Tsukihime's protagonist, Shiki Tohno. (Source: Wikipedia)",Light Novel,10.0,"Type-Moon,Nasu Kinoko,Takeuchi Takashi","Fantasy,Horror,Mystery,Supernatural,Mythology,Psychological,School",2.0,Finished,8.54,3298.0,1129,560,1998.0,1999.0,https://cdn.myanimelist.net/images/manga/2/45015.jpg
81211,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,"Willem Kmetsch wakes up from his icy slumber as the last surviving Emnetwiht, a race of humans that populated the planet’s surface until they met their untimely demise five centuries ago at the hands of ""Beasts."" Currently, he lives among the hundred odd floating islands that make up civilization—otherwise inhabited by various other species, all of whom possess distinct animal-like features such as horns, fangs, wings, and scales. Because he lacks any such feature, Willem is referred to as a ""markless."" One day, Willem encounters another markless named Ctholly Nota Seniorious. He thinks nothing of the meeting, and continues to spend his days working odd jobs until he runs into her again, this time after accepting a military posting. Willem soon learns that the group of bubbly young Leprechauns he is tasked to look after are pivotal in the ongoing battle against the Beasts. These girls, who have had little exposure outside a world where they are treated as weapons, are willing to die if it means defeating the Beasts. Determined to nurture a life of normalcy for them, Willem soon becomes a father figure to the girls. Just like how he once went off to battle, he must now come to terms with watching these children go off to war. [Written by MAL Rewrite]",Light Novel,25.0,"Kareno Akira,ue","Drama,Fantasy,Romance,Sci-Fi",5.0,Finished,8.53,5692.0,702,903,2014.0,2016.0,https://cdn.myanimelist.net/images/manga/3/174609.jpg
66517,Umineko no Naku Koro ni,,"Considered as the third installment in the highly popular When They Cry series by 07th Expansion, Umineko no Naku Koro ni takes place on the island of Rokkenjima, owned by the immensely wealthy Ushiromiya family. As customary per year, the entire family is gathering on the island for a conference that discusses the current financial situations of each respective person. Because of the family head's poor health, this year involves the topic of the head of the family's inheritance and how it will be distributed. However, the family is unaware that the distribution of his wealth is the least of Ushiromiya Kinzou's (family head) concerns for this year's family conference. After being told that his end was approaching by his longtime friend and physician, Kinzou is desperate to meet his life's true love one last time: the Golden Witch, Beatrice. Having immersed himself in black magic for many of the later years in his life, Kinzou instigates a ceremony to revive his beloved upon his family's arrival on Rokkenjima. Soon after, a violent typhoon traps the family on the island and a string of mysterious murders commence, forcing the eighteen people on the island to fight for their lives in a deadly struggle between fantasy and reality. [Written by MAL Rewrite]",Light Novel,,"Ryukishi07,Tomohi","Fantasy,Horror,Mystery,Supernatural,Suspense,Psychological",8.0,Finished,8.53,2021.0,3157,511,2009.0,2010.0,https://cdn.myanimelist.net/images/manga/3/290256.jpg
26027,Mahoutsukai no Yoru,Witch on the Holy Night,"It is the late 1980s. Rumors of a witch living inside an old mansion circulate in the city. Unbeknownst to observers, living inside the mansion is an actual witch, Alice Kuonji, a stoic woman and a magus hiding in the present day. Under her tutelage studies Aoko Aozaki, a high school student studying magecraft as the head of the Aozaki family. As magi, the two of them secretly fight any threat that enters their town. Things start to change when a young man unfamiliar with city life, Soujuurou Shizuki, enters their lives. Slowly, he affects the lives of these two magi. And so their story begins... (Source: TV Tropes)",Light Novel,8.0,Nasu Kinoko,"Mystery,Supernatural",1.0,Finished,8.52,683.0,4082,158,2012.0,,https://cdn.myanimelist.net/images/manga/1/63637.jpg
1342,Baccano!,Baccano!,"Aboard the Advenna Avis in 1711, a group of alchemists summon a demon in the hopes of gaining eternal life. The demon gives them an elixir of immortality and the method of ending their existence by ""devouring"" one another. Soon after, one among them begins to devour his companions. Realizing the danger posed by staying together, they scatter across the globe. Centuries later in 1930's America, a certain federal investigator tries his best to combat the rise of organized crime during Prohibition, send a particularly infuriating terrorist to Alcatraz, and catch an outrageous thief duo. Meanwhile, the transcontinental train, the Flying Pussyfoot, begins its trail of blood across the country. In 2002, a small group of the original Advenna Avis alchemists are on a journey to find the rest of their fellow immortals. However, there is one companion they did not expect to meet again. Seemingly unrelated events, from a sleepy Italian city in the early 1700's to a modern luxury cruise ship traveling across the Pacific, reveal themselves to be far more connected than anyone could imagine... (Source: Wikipedia, MAL Rewrite)",Light Novel,,"Narita Ryohgo,Enami Katsumi","Action,Fantasy,Mystery,Organized Crime",22.0,On Hiatus,8.52,3027.0,928,483,2003.0,2016.0,https://cdn.myanimelist.net/images/manga/2/172736.jpg
3649,Fate/Zero,,"The Holy Grail War is a ritualistic battle fought to determine who is worthy of commanding the Holy Grail: an omnipotent wish-granting device. The war is held between seven mages, each armed with their own familiar, an ancient heroic spirit of legend. The Einzberns, a major contender in the grail war, have recruited the infamous mage killer Kiritsugu Emiya as their representative in the Fourth Holy Grail War. Though armed with his own arsenal, Kiritsugu is faced with six other mages vying to win. From bettering humanity to garnering respect, all opponents have their own reasons for seeking the Holy Grail. Taking place 10 years before the events of Fate/Stay Night, Fate/Zero illustrates the events of the fateful Fourth Holy Grail War. [Written by MAL Rewrite]",Light Novel,18.0,"Takeuchi Takashi,Urobuchi Gen","Action,Fantasy,Supernatural",4.0,Finished,8.51,8753.0,652,950,2006.0,2007.0,https://cdn.myanimelist.net/images/manga/3/186073.jpg
39859,Steins;Gate,,"The story of Steins;Gate takes place in Akihabara and is about a group of friends who have managed to customize their microwave into a device that can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them.",Light Novel,17.0,"Sakai Kyuuta,Miwa Kiyomune","Sci-Fi,Suspense",5.0,Finished,8.51,3597.0,1510,188,2011.0,2012.0,https://cdn.myanimelist.net/images/manga/3/72649.jpg
87610,Tensei shitara Slime Datta Ken,That Time I Got Reincarnated as a Slime,"Lonely thirty-seven-year-old Satoru Mikami is stuck in a dead-end job, unhappy with his mundane life, but after dying at the hands of a robber, he awakens to a fresh start in a fantasy realm...as a slime monster! As he acclimates to his goopy new existence, his exploits with the other monsters set off a chain of events that will change his new world forever! (Source: Yen Press)",Light Novel,,"Mitz Vah,Fuse","Fantasy,Isekai,Reincarnation",,Publishing,8.49,15704.0,440,2141,2014.0,,https://cdn.myanimelist.net/images/manga/3/152383.jpg
79993,Umineko no Naku Koro ni Chiru,,"Looking for information on the light novel Umineko no Naku Koro ni Chiru? Find out more with MyAnimeList, the world's most active online anime and manga community and database.",Light Novel,,"Ryukishi07,Tomohi","Fantasy,Horror,Mystery,Supernatural,Suspense,Psychological",7.0,Finished,8.48,1287.0,5232,179,2012.0,2018.0,https://cdn.myanimelist.net/images/manga/3/185817.jpg
