novel_id,title,title_eng,synopsis,type,n_chapters,authors,genres,n_volumes,status,score,scored_by,popularty,favorites,year_start,year_finnish,image
40171,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"My Youth Romantic Comedy Is Wrong, As I Expected","Hachiman Hikigaya, a student in Soubu High School, is a cynical loner due to his traumatic past experiences in his social life. This eventually led to him developing a set of ""dead fish eyes"" and a twisted personality similar to that of a petty criminal. Believing that the concept of youth is a lie made up by youngsters who face their failures in denial, he turns in an essay that criticizes this exact mentality of youths. Irritated by the submission, his homeroom teacher, Shizuka Hiratsuka, forces him to join the Volunteer Service Club—a club that assists students to solve their problems in life, hoping that helping other people would change his personality. However, Yukino Yukinoshita, the most beautiful girl in school, is surprisingly the sole member of the club and a loner, albeit colder and smarter than Hikigaya. Their club soon expands when Yui Yuigahama joins them after being helped with her plight, and they begin to accept more requests. With his status quo as a recluse, Hikigaya attempts to solve problems in his own way, but his methods may prove to be a double-edged sword. [Written by MAL Rewrite]",Light Novel,168.0,"Watari Wataru,Ponkan⑧","Comedy,Romance,Love Polygon,School",18.0,Finished,8.75,20038.0,219,4110,2011.0,2021.0,https://cdn.myanimelist.net/images/manga/1/122461.jpg
86119,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Ascendance of a Bookworm: I'll do Anything to Become a Librarian!,"Urano Motosu's lifelong dream to become a librarian comes true. Luck is not on her side, however, as a plethora of books falls on her during an earthquake. On the verge of death, she begs God to be reborn surrounded by nothing but books. Her wish is fulfilled, albeit not how she expected: Urano is reincarnated as Myne—a sickly five-year-old child with an ardent desire to read—in another world where the upper class controls knowledge, and only the privileged have access to written works. As a commoner, Myne is distraught that she will never be able to find what she is yearning for. To obtain books, Myne decides she should make them herself. Currently, she is but a kid thrust into an unknown place—but nothing will not stop Myne from achieving her goal. [Written by MAL Rewrite]",Light Novel,,"Shiina You,Kazuki Miya","Fantasy,Isekai,Reincarnation",33.0,Finished,8.74,4722.0,1274,1039,2015.0,2023.0,https://cdn.myanimelist.net/images/manga/1/149552.jpg
55215,Utsuro no Hako to Zero no Maria,The Empty Box and Zeroth Maria,"Kazuki Hoshino values his everyday life above all else. He spends the days carefree with his friends at school, until the uneventful bliss suddenly comes to a halt with the transfer of the aloof beauty Aya Otonashi into his class and her cold, dramatic statement to him immediately upon arrival: ""I'm here to break you. This is the 13,118th time I've transferred. After so many occasions, I have to say that this is all starting to grate on me, which is why this time I'm spicing things up with a proper declaration of war."" And with those puzzling words, the ordinary days that Kazuki loved so dearly become a cycle of turmoil and fear—Aya's sudden appearance signals the unraveling of unseen mysteries surrounding Kazuki's seemingly normal friends, including the discovery of mysterious devices known as ""boxes."" [Written by MAL Rewrite]",Light Novel,40.0,"Mikage Eiji,Tetsuo","Action,Drama,Horror,Mystery,Romance,Supernatural,Suspense,Psychological,School",7.0,Finished,8.7,20667.0,136,5326,2009.0,2015.0,https://cdn.myanimelist.net/images/manga/2/175662.jpg
86769,Kusuriya no Hitorigoto,The Apothecary Diaries,"In the East is a land ruled by an emperor, whose consorts and serving women live in a sprawling complex known as the hougong, the rear palace. Maomao, an unassuming girl raised in an unassuming town by her apothecary father, never imagined the rear palace would have anything to do with her—until she was kidnapped and sold into service there. Though she looks ordinary, Maomao has a quick wit, a sharp mind, and an extensive knowledge of medicine. That's her secret, until she encounters a resident of the palace at least as perceptive as she is: the head eunuch, Jinshi. He sees through Maomao's façade and makes her a lady-in-waiting to none other than the Emperor's favorite consort... so she can taste the lady's food for poison! At her lady's side, Maomao starts to learn about everything that goes on in the rear palace—not all of it seemly. Can she ever lead a quiet life, or will her powers of deduction and insatiable curiosity bring her ever more adventures, and ever more dangers? (Source: J-Novel Club)",Light Novel,,"Hyuuga Natsu,Shino Touko","Drama,Mystery,Medical",,Publishing,8.67,2243.0,1818,576,2014.0,,https://cdn.myanimelist.net/images/manga/2/176943.jpg
9726,Zaregoto Series,Zaregoto,"A dropout from an elite Houston-based program for teens is on a visit to a private island. Its mistress, virtually marooned there, surrounds herself with geniuses, especially of the young and female kind—one of whom ends up headless one fine morning. (Source: Kodansha USA)",Light Novel,,"NISIO ISIN,Take","Action,Drama,Mystery,Supernatural",,Publishing,8.64,4527.0,756,1205,2002.0,,https://cdn.myanimelist.net/images/manga/1/157901.jpg
98930,Violet Evergarden,,"""Auto-Memories Dolls"" were created with the purpose of recording one's speech and emotions. First invented by Dr. Orland to bring happiness to his wife, such dolls are now being loaned by companies after knowledge of his work became public. Moved by the work of the Auto-Memories Dolls, a woman named Violet Evergarden decides to take up their duties. Beautiful, with golden hair and crystal-blue eyes, she quickly becomes the most popular doll, leaving all her clients delighted by her company. Violet Evergarden is a compilation of heartwarming short stories revolving around the life of the graceful Auto-Memories Doll as she serves her different clients. [Written by MAL Rewrite]",Light Novel,13.0,"Akatsuki Kana,Takase Akiko","Drama,Fantasy",2.0,Finished,8.63,6254.0,653,753,2015.0,2016.0,https://cdn.myanimelist.net/images/manga/3/279888.jpg
81669,Overlord,Overlord,"Yggdrasil is a virtual reality game renowned for the freedom it offers its players. After a simple tutorial, players are left to explore the world and can customize anything and everything, from their classes to their weapons. However, in the year 2138, the game sees its final hours as its servers shut down at midnight. Momonga, a devoted player of Yggdrasil, decides to spend the game's last hours inside his guild, Ainz Ooal Gown. Strangely, at the stroke of midnight, the game does not log him out. Instead, Momonga finds himself transported to another world, one that is seemingly identical to that of Yggdrasil. Facing an already abnormal situation, he discovers that the NPCs have gained sentience. Trapped in his avatar's skeletal body and desperate to uncover the cause of his predicament and find other players like him, Momonga sets out to take control of the new world with the help of his loyal subjects. [Written by MAL Rewrite]",Light Novel,,"Maruyama Kugane,so-bin","Action,Fantasy,Isekai",,Publishing,8.63,22425.0,256,3940,2012.0,,https://cdn.myanimelist.net/images/manga/1/160558.jpg
102875,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,The House in Fata Morgana,"You awaken in a decrepit old mansion. A woman with eyes of jade stands before You, informing You that You are the Master of the house, and she Your Maid. However, You have no memories, no concept of self—or, indeed, any certainty that You are even alive. The Maid invites You to join her on a journey through the mansion's lifeless halls, to behold the numerous tragedies that have befallen its residents. She suggests that among them, perhaps You will find some trace of Yourself. (Source: MangaGamer, edited)",Light Novel,21.0,"Hanada Keika,Moyataro","Drama,Horror,Mystery,Supernatural",5.0,Finished,8.62,999.0,5524,421,2014.0,2016.0,https://cdn.myanimelist.net/images/manga/2/193634.jpg
24875,Shinyaku Toaru Majutsu no Index,A Certain Magical Index NT,"Having lasted merely two weeks, World War III has come to an end. Both Accelerator and Hamazura Shiage have returned home to the people they cherish most after overcoming their individual conflicts. The world is at peace and Academy City continues on as normal while the magicians focus their efforts on repairing the damage they took from the war. Among this tranquility, however, someone is missing. Someone who used his right hand to save a young girl while changing the tides of war along the way: the ""Imagine Breaker,"" Touma Kamijou. However, the disappearance of the self-proclaimed ordinary high school student has not affected the majority of the world as the temporary peace is soon broken when new threats, both espers and magicians, emerge across the globe. Now, the heroes of World War III must step forth into battle once more, facing off against some of the most powerful enemies imaginable in order to protect the people they hold most dear. [Written by MAL Rewrite]",Light Novel,178.0,"Kamachi Kazuma,Haimura Kiyotaka","Action,Comedy,Fantasy,Sci-Fi,Supernatural,Super Power",23.0,Finished,8.61,5297.0,1244,1184,2011.0,2019.0,https://cdn.myanimelist.net/images/manga/2/221675.jpg
60553,Kono Subarashii Sekai ni Shukufuku wo!,Konosuba: God's Blessing on This Wonderful World!,"Kazuma Satou lives a laughable and pathetic life, being a shut-in NEET with no distinguishable qualities other than an addiction to video games. On his way home, Kazuma dies trying to save a girl from an oncoming truck—or so he believes. In reality, the ""truck"" was a slow-moving tractor, and he merely died from shock. Waking up in limbo between death and heaven, Kazuma finds himself facing the arrogant goddess Aqua. Here, he must choose between two options: go on to heaven or be sent to a fantasy world that needs his help to defeat the Demon King. Initially unimpressed by the challenging prospect of fighting a Demon King, Kazuma changes his mind after Aqua tells him he can bring any one item he wants. What better choice does Kazuma have than the goddess standing before him? Unfortunately, after the two arrive in their new world, two things become clear: Aqua is useless beyond belief, and life in this fantasy realm will be anything but smooth sailing. From paying for food and accommodations to trying to learn new skills, the duo's problems are just starting to take shape—and the arrival of eccentric allies may only make things worse. [Written by MAL Rewrite]",Light Novel,127.0,"Mishima Kurone,Akatsuki Natsume","Adventure,Comedy,Fantasy,Isekai,Parody",17.0,Finished,8.61,17581.0,305,2882,2013.0,2020.0,https://cdn.myanimelist.net/images/manga/1/174932.jpg
